Call Sign,Radio Service Code,License Holder,FRN,Sprint Equivalent,Block,MHz,POPs,MHz-POPs,License Effective,License Expires,Pending Applications,Tribal License,Lease ID,Lessee Name,Lessee Sprint Equivalent,Lease Commenced,Lease Expires,License Contact,License Email,License Phone
B009,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B005,BR,"American Telecasting Development, LLC",0001606201,Yes,BEFH,73.5,Unknown,Unknown,09/11/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B004,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,L000045992,"360 Communications, Inc.",No,03/16/2022,03/28/2026,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B011,BR,"PCTV Gold II, LLC",0003573672,Yes,BEFH,73.5,Unknown,Unknown,09/21/2021,03/28/2026,No,No,L000039359,"Casair Spectrum Holdings, LLC",No,08/15/2019,03/28/2026,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B002,BR,"WBSY Licensing, LLC",0004357273,Yes,BEFH,73.5,Unknown,Unknown,10/09/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B007,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B001,BR,"Northern Valley Communications, L.L.C.",0004364022,No,BEFH,73.5,Unknown,Unknown,03/08/2022,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,James Groft,james.groft@corp.nvc.net,(605)397-2323
B013P01,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,L000010441,"Tri-County Electric Cooperative, Inc",No,03/26/2013,04/03/2025,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B012,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B014,BR,"Fixed Wireless Holdings, LLC",0010490498,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,Yes,No,L000025185,OptimERA Inc.,No,10/28/2017,10/10/2022,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B006,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B013P02,BR,"Plateau Telecommunications, Incorporated",0003800570,No,BEFH,73.5,Unknown,Unknown,06/05/2019,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,Launa Waller,lwaller@plateautel.com,(575)389-4211
B018,BR,"American Telecasting of Green Bay, LLC",0004384699,Yes,BEFH,73.5,Unknown,Unknown,09/15/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B003,BR,"NSAC, LLC",0003768553,Yes,BEFH,73.5,Unknown,Unknown,10/23/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B015,BR,"PCTV Gold II, LLC",0003573672,Yes,BEFH,73.5,Unknown,Unknown,09/21/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B017,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B020,BR,"WBSY Licensing, LLC",0004357273,Yes,BEFH,73.5,Unknown,Unknown,10/09/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
B019,BR,"TDI Acquisition Sub, LLC",0017806084,Yes,BEFH,73.5,Unknown,Unknown,10/26/2021,03/28/2026,Yes,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8402
B024,BR,Clearwire Spectrum Holdings II LLC,0015316904,Yes,BEFH,73.5,Unknown,Unknown,09/16/2021,03/28/2026,No,No,No active leases,N/A,N/A,N/A,N/A,FCC Regulatory Compliance,FCCRegulatoryComplianceContact@t-mobile.com,(425)383-8401
