Call Sign,License Key,Radio Service
B001,2589780,BR
B002,2589781,BR
B003,2591988,BR
B004,2589782,BR
B005,2589783,BR
B006,2591989,BR
B007,2593491,BR
B009,2591990,BR
B011,2589786,BR
B012,2593492,BR
B013P01,2590164,BR
B013P02,2592185,BR
B014,2589787,BR
B015,2589788,BR
B017,2589789,BR
B018,2593493,BR
B019,2593494,BR
B020,2589790,BR
B021,2589791,BR
B022,2589792,BR
B024,2589793,BR
B026,2591994,BR
B027,2589794,BR
B028,2589795,BR
B029,2591995,BR
B030,2589796,BR
B031,2589797,BR
B032,2593496,BR
B036,2589799,BR
B037,2589800,BR
B038,2591997,BR
B039,2589801,BR
B040,2593498,BR
B041,2589802,BR
B042,2591998,BR
B043,2589803,BR
B044,2589804,BR
B045,2591999,BR
B046,2593499,BR
B047,2589805,BR
B049,2589806,BR
B050,2589807,BR
B051,2589808,BR
B052,2592000,BR
B054,2589809,BR
B055,2592001,BR
B057,2589811,BR
B058,2592002,BR
B059,2593502,BR
B060,2589812,BR
B061,2593503,BR
B062,2589813,BR
B064,2842970,BR
B065,2592003,BR
B066,2589815,BR
B067,2589816,BR
B068,2592004,BR
B069,2589817,BR
B071,2592005,BR
B073,2589819,BR
B074,2589820,BR
B075,2593506,BR
B076,2589821,BR
B077,2593507,BR
B078,2592006,BR
B079,2589822,BR
B081,2592007,BR
B083,2593508,BR
B084,2592008,BR
B085,2589825,BR
B086,2589826,BR
B087,2589827,BR
B088,2592009,BR
B089,2593509,BR
B090,2589828,BR
B091,2593510,BR
B092,2589829,BR
B093,2589830,BR
B094,2592010,BR
B095,2589831,BR
B097,2589832,BR
B098,2592011,BR
B099,2589833,BR
B100,2589834,BR
B101,2592012,BR
B102,2593512,BR
B103,2589835,BR
B106,2589837,BR
B107,2592013,BR
B108,2593514,BR
B109,2589838,BR
B110,2589839,BR
B111,2592014,BR
B112,2589840,BR
B114,2592015,BR
B115,2593515,BR
B116,2589842,BR
B117,2593516,BR
B118,2589843,BR
B119,2589844,BR
B120,2593517,BR
B122,2589845,BR
B123,2589846,BR
B125,2589847,BR
B126,2593518,BR
B127,2592018,BR
B128,2589848,BR
B129,2589849,BR
B130,2593519,BR
B131,2589850,BR
B133,2589851,BR
B134,2592019,BR
B136,2589852,BR
B138,2592020,BR
B140,2593521,BR
B141,2592021,BR
B142,2589855,BR
B143,2589856,BR
B144,2589857,BR
B145,2593522,BR
B146,2592022,BR
B147,2589858,BR
B148,2589859,BR
B149,2593523,BR
B150,2589860,BR
B151,2593524,BR
B152,2589861,BR
B153,2592023,BR
B154,2589862,BR
B155,2589863,BR
B156,2592024,BR
B157,2593525,BR
B158,2589864,BR
B159,2592025,BR
B160,2589865,BR
B161,2589866,BR
B164,2593527,BR
B165,2589868,BR
B166,2592026,BR
B167,2589869,BR
B169,2592027,BR
B170,2593528,BR
B171,2842537,BR
B172,2592028,BR
B173,2589872,BR
B175,2593529,BR
B176,2593530,BR
B177,2589874,BR
B181,2589876,BR
B184,2593531,BR
B185,2589878,BR
B186,2589879,BR
B187,2592031,BR
B188,2589880,BR
B191,2784207,BR
B192,2589881,BR
B193,2589882,BR
B194,2593533,BR
B195,2589883,BR
B196,2593534,BR
B197,2592033,BR
B198,2589884,BR
B199,2589885,BR
B200,2589886,BR
B201,2592034,BR
B202,2593535,BR
B203,2589887,BR
B204,2592035,BR
B205,2589888,BR
B206,2589889,BR
B207,2593536,BR
B208,2589890,BR
B209,2593537,BR
B210,2589891,BR
B211,2592036,BR
B212,2589892,BR
B213,2589893,BR
B214,2592037,BR
B216,2589894,BR
B217,2592038,BR
B219,2589896,BR
B220,2593539,BR
B221,2593540,BR
B222,2589897,BR
B223,2589898,BR
B224,2592039,BR
B225,2589899,BR
B226,2589900,BR
B227,2592040,BR
B228,2593541,BR
B229,2589901,BR
B230,2592041,BR
B231,2589902,BR
B232,2589903,BR
B233,2593542,BR
B234,2593543,BR
B235,2589904,BR
B236,2589905,BR
B237,2592042,BR
B238,2589906,BR
B239,2593544,BR
B240,2592043,BR
B241,2589907,BR
B242,2589908,BR
B243,2592044,BR
B245,2593545,BR
B246,2589910,BR
B247,2592045,BR
B248,2589911,BR
B249,2589912,BR
B250,2593546,BR
B251,2589913,BR
B253,2592046,BR
